Month,Year,SIP_Inflow_Crores
April,2016,3122
May,2016,3189
June,2016,3310
July,2016,3334
August,2016,3497
September,2016,3698
October,2016,3434
November,2016,3884
December,2016,3973
January,2017,4095
February,2017,4050
March,2017,4335
April,2017,4269
May,2017,4584
June,2017,4744
July,2017,4947
August,2017,5206
September,2017,5516
October,2017,5621
November,2017,5893
December,2017,6222
January,2018,6644
February,2018,6425
March,2018,7119
April,2018,6690
May,2018,7304
June,2018,7544
July,2018,7554
August,2018,7658
September,2018,7727
October,2018,7985
November,2018,7985
December,2018,8022
January,2019,8064
February,2019,8095
March,2019,8055
April,2019,8238
May,2019,8183
June,2019,8122
July,2019,7554
August,2019,7792
September,2019,7788
October,2019,8246
November,2019,8273
December,2019,8518
January,2020,8532
February,2020,8513
March,2020,8641
April,2020,8376
May,2020,8123
June,2020,7917
July,2020,7831
August,2020,7792
September,2020,7788
October,2020,7800
November,2020,7302
December,2020,8418
January,2021,8023
February,2021,7528
March,2021,9182
April,2021,8596
May,2021,8819
June,2021,9156
July,2021,9609
August,2021,9923
September,2021,10351
October,2021,10519
November,2021,11005
December,2021,11305
January,2022,11517
February,2022,11438
March,2022,12328
April,2022,11863
May,2022,12286
June,2022,12140
July,2022,12693
August,2022,12976
September,2022,13041
October,2022,13306
November,2022,13573
December,2022,13856
January,2023,13856
February,2023,13686
March,2023,14276
April,2023,13728
May,2023,14749
June,2023,12276
July,2023,15145
August,2023,15814
September,2023,16042
October,2023,16928
November,2023,17073
December,2023,17610
January,2024,18838
February,2024,19187
March,2024,19271
April,2024,20371
May,2024,20904.0
June,2024,14734
July,2024,15245
August,2024,15814
September,2024,16042
October,2024,16928
November,2024,17073
December,2024,17610
January,2025,18838
February,2025,19187
March,2025,19271
April,2025,26632
May,2025,26688
