ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-04-01,3748.0627200000004,3073.814659796201,6236.704266997383,3748.0627200000004,3748.0627200000004,896.4646677103693,896.4646677103693,896.4646677103693,896.4646677103693,896.4646677103693,896.4646677103693,0.0,0.0,0.0,4644.52738771037
2016-05-01,3854.2313977208323,3168.2262886062485,6225.077554217706,3854.2313977208323,3854.2313977208323,881.7419971843481,881.7419971843481,881.7419971843481,881.7419971843481,881.7419971843481,881.7419971843481,0.0,0.0,0.0,4735.973394905181
2016-06-01,3963.9390313656922,1204.2990031595264,4380.08768936445,3963.9390313656922,3963.9390313656922,-1099.8387103251487,-1099.8387103251487,-1099.8387103251487,-1099.8387103251487,-1099.8387103251487,-1099.8387103251487,0.0,0.0,0.0,2864.1003210405433
2016-07-01,4070.107709086524,1683.6717248656544,4748.550364998397,4070.107709086524,4070.107709086524,-906.3852287966843,-906.3852287966843,-906.3852287966843,-906.3852287966843,-906.3852287966843,-906.3852287966843,0.0,0.0,0.0,3163.72248028984
2016-08-01,4179.815346437798,1974.8773467237806,5202.540393217347,4179.815346437798,4179.815346437798,-628.1631477039409,-628.1631477039409,-628.1631477039409,-628.1631477039409,-628.1631477039409,-628.1631477039409,0.0,0.0,0.0,3551.6521987338574
2016-09-01,4289.522983789072,2386.432834427242,5516.505034763018,4289.522983789072,4289.522983789072,-374.1123845211149,-374.1123845211149,-374.1123845211149,-374.1123845211149,-374.1123845211149,-374.1123845211149,0.0,0.0,0.0,3915.410599267957
2016-10-01,4395.691665096757,2568.3188304054665,5709.095111564328,4395.691665096757,4395.691665096757,-215.67423160592298,-215.67423160592298,-215.67423160592298,-215.67423160592298,-215.67423160592298,-215.67423160592298,0.0,0.0,0.0,4180.017433490834
2016-11-01,4505.399302448031,2750.4822243871517,5904.264207963237,4505.399302448031,4505.399302448031,-219.7776825983403,-219.7776825983403,-219.7776825983403,-219.7776825983403,-219.7776825983403,-219.7776825983403,0.0,0.0,0.0,4285.621619849691
2016-12-01,4611.5679864708445,2921.7293865221855,6104.222718816371,4611.5679864708445,4611.5679864708445,-23.606544386553338,-23.606544386553338,-23.606544386553338,-23.606544386553338,-23.606544386553338,-23.606544386553338,0.0,0.0,0.0,4587.961442084291
2017-01-01,4721.27562662775,2986.8246472215624,6250.841817998954,4721.27562662775,4721.27562662775,-117.50296513456479,-117.50296513456479,-117.50296513456479,-117.50296513456479,-117.50296513456479,-117.50296513456479,0.0,0.0,0.0,4603.772661493185
2017-02-01,4830.983266784658,2559.200284908804,5791.1729065422105,4830.983266784658,4830.983266784658,-597.3694226955032,-597.3694226955032,-597.3694226955032,-597.3694226955032,-597.3694226955032,-597.3694226955032,0.0,0.0,0.0,4233.613844089155
2017-03-01,4930.074043889148,3520.2052704048388,6780.735984091439,4930.074043889148,4930.074043889148,245.97621538077348,245.97621538077348,245.97621538077348,245.97621538077348,245.97621538077348,245.97621538077348,0.0,0.0,0.0,5176.050259269921
2017-04-01,5039.781689969119,4112.665610708351,7286.984644696653,5039.781689969119,5039.781689969119,653.8862874637367,653.8862874637367,653.8862874637367,653.8862874637367,653.8862874637367,653.8862874637367,0.0,0.0,0.0,5693.667977432856
2017-05-01,5145.9503797239295,4236.591667366942,7544.648895425647,5145.9503797239295,5145.9503797239295,753.1197123739207,753.1197123739207,753.1197123739207,753.1197123739207,753.1197123739207,753.1197123739207,0.0,0.0,0.0,5899.070092097851
2017-06-01,5255.658025803901,2593.499454044423,5866.419494724951,5255.658025803901,5255.658025803901,-981.0754057592007,-981.0754057592007,-981.0754057592007,-981.0754057592007,-981.0754057592007,-981.0754057592007,0.0,0.0,0.0,4274.582620044701
2017-07-01,5361.826715352353,2998.356321035519,6261.911967437624,5361.826715352353,5361.826715352353,-706.2575292181256,-706.2575292181256,-706.2575292181256,-706.2575292181256,-706.2575292181256,-706.2575292181256,0.0,0.0,0.0,4655.5691861342275
2017-08-01,5471.534361219086,3266.6142645166988,6528.922432337696,5471.534361219086,5471.534361219086,-535.9301908410284,-535.9301908410284,-535.9301908410284,-535.9301908410284,-535.9301908410284,-535.9301908410284,0.0,0.0,0.0,4935.6041703780575
2017-09-01,5581.242007085822,3713.6367935713447,6855.148422414567,5581.242007085822,5581.242007085822,-462.39896696488483,-462.39896696488483,-462.39896696488483,-462.39896696488483,-462.39896696488483,-462.39896696488483,0.0,0.0,0.0,5118.843040120937
2017-10-01,5687.410691942359,3766.211002818156,6953.470015032088,5687.410691942359,5687.410691942359,-308.9618786713091,-308.9618786713091,-308.9618786713091,-308.9618786713091,-308.9618786713091,-308.9618786713091,0.0,0.0,0.0,5378.44881327105
2017-11-01,5797.118332960781,3924.530966897516,7108.278115301644,5797.118332960781,5797.118332960781,-322.15919549569884,-322.15919549569884,-322.15919549569884,-322.15919549569884,-322.15919549569884,-322.15919549569884,0.0,0.0,0.0,5474.959137465083
2017-12-01,5903.287017817319,4151.597372624553,7442.864501401228,5903.287017817319,5903.287017817319,-102.87851233151372,-102.87851233151372,-102.87851233151372,-102.87851233151372,-102.87851233151372,-102.87851233151372,0.0,0.0,0.0,5800.408505485805
2018-01-01,6012.994658835741,4398.578259226606,7476.544172533173,6012.994658835741,6012.994658835741,-7.6630855684864905,-7.6630855684864905,-7.6630855684864905,-7.6630855684864905,-7.6630855684864905,-7.6630855684864905,0.0,0.0,0.0,6005.3315732672545
2018-02-01,6120.481449204444,4300.369867198091,7529.505546625628,6120.481449204444,6120.481449204444,-265.1310886010869,-265.1310886010869,-265.1310886010869,-265.1310886010869,-265.1310886010869,-265.1310886010869,0.0,0.0,0.0,5855.350360603357
2018-03-01,6217.566292118111,4771.031473778199,7903.970886012396,6217.566292118111,6217.566292118111,110.20229298869342,110.20229298869342,110.20229298869342,110.20229298869342,110.20229298869342,110.20229298869342,0.0,0.0,0.0,6327.7685851068045
2018-04-01,6325.053082486813,5078.993963016171,8390.55759561798,6325.053082486813,6325.053082486813,410.12003741540696,410.12003741540696,410.12003741540696,410.12003741540696,410.12003741540696,410.12003741540696,0.0,0.0,0.0,6735.17311990222
2018-05-01,6424.457206568675,5463.838096813675,8587.183660235292,6424.457206568675,6424.457206568675,631.0424204476944,631.0424204476944,631.0424204476944,631.0424204476944,631.0424204476944,631.0424204476944,0.0,0.0,0.0,7055.49962701637
2018-06-01,6527.174801453266,4115.712883378412,7314.447328853219,6527.174801453266,6527.174801453266,-855.2054337270572,-855.2054337270572,-855.2054337270572,-855.2054337270572,-855.2054337270572,-855.2054337270572,0.0,0.0,0.0,5671.9693677262085
2018-07-01,6626.5789255351265,4505.266740721208,7707.476073954395,6626.5789255351265,6626.5789255351265,-506.4519762057039,-506.4519762057039,-506.4519762057039,-506.4519762057039,-506.4519762057039,-506.4519762057039,0.0,0.0,0.0,6120.126949329422
2018-08-01,6729.296520419717,4643.392087208525,7910.362193568135,6729.296520419717,6729.296520419717,-449.2502562700461,-449.2502562700461,-449.2502562700461,-449.2502562700461,-449.2502562700461,-449.2502562700461,0.0,0.0,0.0,6280.046264149671
2018-09-01,6823.010756380944,4649.1916908519015,7765.05900908611,6823.010756380944,6823.010756380944,-555.4581792539117,-555.4581792539117,-555.4581792539117,-555.4581792539117,-555.4581792539117,-555.4581792539117,0.0,0.0,0.0,6267.552577127032
